,Sign,GlossVar,Frequence,Path,SentencePath
0,abrir,ABRIR-CORTINA_1,2,ABRIR-CORTINA_ORACION_1\ABRIR-CORTINA_1_7.mp4,ABRIR-CORTINA_ORACION_1.mp4
1,no,NO_1,8,ABRIR-CORTINA_ORACION_1\NO_1_5.mp4,ABRIR-CORTINA_ORACION_1.mp4
2,oscuro,OSCURO_1,1,ABRIR-CORTINA_ORACION_1\OSCURO_1_3.mp4,ABRIR-CORTINA_ORACION_1.mp4
3,persiana,PERSIANA_1,3,ABRIR-CORTINA_ORACION_1\PERSIANA_1_6.mp4,ABRIR-CORTINA_ORACION_1.mp4
4,ver,VER_1,54,ABRIR-CORTINA_ORACION_1\VER_1_2.mp4,ABRIR-CORTINA_ORACION_1.mp4
5,yo,YO_1,138,ABRIR-CORTINA_ORACION_1\YO_1_1.mp4,ABRIR-CORTINA_ORACION_1.mp4
6,jalar,JALAR-CORDON_1,1,ABRIR-CORTINA_ORACION_2\JALAR-CORDON_1_2.mp4,ABRIR-CORTINA_ORACION_2.mp4
7,luz,LUZ_1,1,ABRIR-CORTINA_ORACION_2\LUZ_1_4.mp4,ABRIR-CORTINA_ORACION_2.mp4
8,abrir,ABRIR_1,2,ABRIR_ORACION_1\ABRIR_1_3.mp4,ABRIR_ORACION_1.mp4
9,caminar,CAMINAR-PERSONA_1,25,ABRIR_ORACION_1\CAMINAR-PERSONA_1_2.mp4,ABRIR_ORACION_1.mp4
10,refrescar,REFRESCAR_1,1,ABRIR_ORACION_1\REFRESCAR_1_4.mp4,ABRIR_ORACION_1.mp4
11,abrir,ABRIR-VERTICAL_1,1,ABRIR_ORACION_2\ABRIR-VERTICAL_1_2.mp4,ABRIR_ORACION_2.mp4
12,al,AL-FRENTE_1,1,ABRIR_ORACION_2\AL-FRENTE_1_4.mp4,ABRIR_ORACION_2.mp4
13,asomar,ASOMAR_1,1,ABRIR_ORACION_2\ASOMAR_1_5.mp4,ABRIR_ORACION_2.mp4
14,bien,BIEN_1,9,ABRIR_ORACION_3\BIEN_1_5.mp4,ABRIR_ORACION_3.mp4
15,calor,CALOR_1,3,ABRIR_ORACION_3\CALOR_1_2.mp4,ABRIR_ORACION_3.mp4
16,dormir,DORMIR_1,6,ABRIR_ORACION_3\DORMIR_1_1.mp4,ABRIR_ORACION_3.mp4
17,desenrroscar,DESENRROSCAR-TAPA_1,1,ABRIR_ORACION_4\DESENRROSCAR-TAPA_1_4.mp4,ABRIR_ORACION_4.mp4
18,echar,ECHAR-CUCHARADA_1,2,ABRIR_ORACION_4\ECHAR-CUCHARADA_1_6.mp4,ABRIR_ORACION_4.mp4
